"Year","Region","centroid_longitude","centroid_latitude","centroid_latitude_Median","centroid_longitude_Median","centroid_latitude_Quantile_05","centroid_longitude_Quantile_05","centroid_latitude_Quantile_95","centroid_longitude_Quantile_95"
1990,"Canada",-61.5864615703742,43.8040038161243,43.4877716886565,-62.1426958681828,42.3703196234848,-66.6997839468152,46.3152138047043,-52.5310012565498
1990,"USA",-68.6409651604826,42.7740454410195,43.091261556618,-68.6570368287933,40.4423631470823,-70.1133489453793,44.2027462174518,-67.3418003636462
1991,"Canada",-61.0562216848748,43.925416016802,43.816813260347,-61.2073015915637,42.4173730564426,-66.7120611691815,46.2965959585994,-53.6736409590077
1991,"USA",-68.5325818123376,42.9334192478322,43.4119211582347,-68.5790779557863,40.6749887780786,-70.0801648282262,44.2231241209897,-67.3778127818426
1992,"Canada",-61.2765402638366,44.0268947607816,43.816813260347,-61.7769644029032,42.4000437811346,-66.717227902968,47.1891635743619,-52.1615972951492
1992,"USA",-68.6259314053984,42.8789258263893,43.4119211582347,-68.6570368287933,40.4484757726534,-70.1049285809531,44.2056724210574,-67.4324873635879
1993,"Canada",-61.6986349505289,43.8172231941788,43.6967837738585,-62.0850976578281,42.3924944517157,-66.6950624713086,45.8653468987607,-53.9756481845638
1993,"USA",-68.638019649898,42.9473831633461,43.4441613634692,-68.6570368287933,40.4840585382281,-70.0895227503956,44.1888955219342,-67.4325944082392
1994,"Canada",-61.2745739760833,43.9036110702031,43.5777358118476,-61.8311064672102,42.3966525372848,-66.6679320335126,46.9542386872998,-52.419108817175
1994,"USA",-68.5826913774368,43.044276654637,43.4756206608786,-68.6136429203861,40.7079378906345,-70.1079293266995,44.2318020936193,-67.431369985922
1995,"Canada",-60.9062552079555,43.8515473946484,43.5777358118476,-60.5294115509759,42.4282179860918,-66.5425213662852,46.2961052425221,-53.9928251891064
1995,"USA",-68.6801911211783,42.8506403255444,43.4441613634692,-68.6570368287933,40.4433317265762,-70.0842758661862,44.22429725498,-67.4363019865848
1996,"Canada",-61.7212023227537,43.8529988919207,43.6260655940945,-62.0663372236763,42.3950167193331,-66.7334027717746,46.935384827602,-53.9859376667732
1996,"USA",-68.5300428899142,43.141677351244,43.6644239317582,-68.5707389807383,40.5436578554206,-70.1046460071441,44.2364481666577,-67.4344224572114
1997,"Canada",-60.9579635296643,43.970359096451,43.822684568829,-60.9403895059474,42.4031088067485,-66.602858858932,46.976157968892,-53.6730728428128
1997,"USA",-68.5481778358679,43.0836856940052,43.5652780587241,-68.5707389807383,40.4228787996993,-70.0594477995983,44.2267205842365,-67.4349136648224
1998,"Canada",-61.5126050178178,43.8957173502096,43.6641186526927,-62.0113315055629,42.3958209105784,-66.7172520514148,46.9344606390306,-53.0920726593394
1998,"USA",-68.5704393620155,43.2394092293815,43.6961248423044,-68.6136429203861,40.7959363079542,-70.1003794320341,44.2351370091477,-67.4364625134744
1999,"Canada",-61.0938902418383,43.9982744358793,44.0527030359767,-61.1295245563184,42.4245780595695,-66.7129034589549,46.3156314471195,-53.3750324289404
1999,"USA",-68.5121682610347,43.270230448502,43.6961248423044,-68.5707389807383,40.890095898653,-70.0835385337322,44.2413587729225,-67.4360847616439
2000,"Canada",-61.103836102833,44.0026521884882,43.822684568829,-61.4358040740824,42.407839060024,-66.6931607554091,46.9402584341093,-52.4635566433746
2000,"USA",-68.5588824679662,43.2250734479172,43.6961248423044,-68.6136429203861,40.8954614407346,-70.1064695843973,44.2347944476795,-67.435863708831
