"Year","Region","Dist_Mean","Dist_Med","Dist_Q5","Dist_Q95"
1990,"Canada",503.058033609825,445.115541416356,45.845079265897,1245.43840735086
1990,"USA",-74.4177579106686,-77.9317262912126,-319.160923390402,-4.7884405500862
1991,"Canada",542.770311035884,525.67327210184,47.8746909738968,1044.98641252644
1991,"USA",-64.6770557627622,-81.3463742564928,-301.005314005418,-7.5742734738715
1992,"Canada",538.132588499531,491.477842832059,46.142175005774,1170.47122406413
1992,"USA",-72.0952244258027,-87.1294624783036,-318.178058631603,-11.9405296942643
1993,"Canada",496.880305048476,462.406164943607,47.9944271499188,1123.51105542562
1993,"USA",-73.359391972195,-88.5605851904287,-314.394803041536,-12.1328838599656
1994,"Canada",528.513895566764,471.301293979631,49.7704171322823,1147.7405280519
1994,"USA",-70.7159909502092,-86.3133694610688,-300.03359004706,-11.6892476086679
1995,"Canada",546.050359713474,550.079204108031,60.4326956281133,1020.5457753221
1995,"USA",-76.6280653506881,-88.5605851904287,-317.414111347818,-12.0847925855483
1996,"Canada",497.605245637493,459.473859618057,44.84690560938,1029.64550208724
1996,"USA",-69.657467141158,-87.8464774938108,-310.615930419656,-11.8210185491012
1997,"Canada",551.922583961972,541.870102143858,54.8349306598493,1053.8050594723
1997,"USA",-69.2474344902314,-84.7946701673205,-317.684355241718,-11.9317669874278
1998,"Canada",514.515160342292,465.587160916092,45.7906751313862,1096.7910709039
1998,"USA",-76.7461674391189,-92.4915514164585,-295.379825288197,-12.0079659587346
1999,"Canada",546.209137166958,548.432840175644,48.4430298971226,1068.01930684144
1999,"USA",-72.4405619524503,-89.417330041655,-289.124272185224,-11.8648270282323
2000,"Canada",545.980286249393,513.005669256316,48.1106592704877,1144.20272891475
2000,"USA",-75.1973897922356,-92.4915514164585,-290.033398611873,-11.9685431696625
2001,"Canada",532.472641520002,498.466977716502,45.3019093877404,1119.33835075878
2001,"USA",-76.139148320514,-83.6376201297214,-265.977072491397,-14.1165685785729
2002,"Canada",520.286774387077,459.173724818218,50.2347684848638,1142.91673725169
2002,"USA",-71.1473177210953,-72.6554329349272,-286.045439159729,-11.9437443811594
2003,"Canada",384.518413998283,407.546745183931,43.2513002046292,955.966231696575
2003,"USA",-66.0425684540734,-74.2720036022312,-255.366724259281,-11.8359359259578
2004,"Canada",435.233676192023,461.995339798942,44.2652473577249,1178.78116590105
2004,"USA",-75.7258232519959,-72.2196216465375,-251.126050022837,-12.0571931328728
2005,"Canada",397.838760567038,435.833171501203,43.3600952217587,1134.77240965732
2005,"USA",-73.7297554298686,-84.8093139272222,-251.902451844517,-11.890522580484
2006,"Canada",406.986878065303,494.84236586272,45.6329374226346,756.688118927811
2006,"USA",-66.3677646192904,-74.2720036022312,-263.234085040377,-11.8614036183506
2007,"Canada",443.927578163762,459.173724818218,44.1171636783412,1213.35574902349
2007,"USA",-81.3228889675763,-92.4915514164585,-281.176157270004,-12.0020083736328
2008,"Canada",431.534320614167,462.720833928679,46.0126300185996,1200.56825360541
2008,"USA",-75.3297913999575,-76.4856638885389,-249.998844319586,-12.0908448805659
2009,"Canada",430.733582781128,470.047953662655,43.8788502681477,1164.5842065332
2009,"USA",-68.0425358671235,-54.4792792615732,-250.169989182154,-11.7181158608891
2010,"Canada",549.948669701597,529.77496001943,46.5275653747994,1165.296302993
2010,"USA",-76.851381559984,-77.3316203057682,-218.271395158601,-14.7814900182371
2011,"Canada",574.921770399818,533.957312011107,44.4717798323436,1254.5329104497
2011,"USA",-82.249832277122,-91.3430950524727,-249.303835492271,-12.0769582889133
2012,"Canada",573.790735827257,525.26332842261,54.3040840777725,1407.27859727121
2012,"USA",-96.2460089933069,-95.6276912990176,-255.476003161626,-14.8382279808531
2013,"Canada",502.274921332293,562.748487120071,56.0642318730236,1242.89379230284
2013,"USA",-87.7012123684732,-95.6276912990176,-271.65509200924,-12.3013609868451
2014,"Canada",494.834956518944,460.538823858171,57.3739226687009,1197.02219261191
2014,"USA",-82.134651501131,-92.4915514164585,-259.226072037992,-12.0089453348215
2015,"Canada",525.899056935061,610.915046161045,56.1171897925781,1247.24673589305
2015,"USA",-88.7250559580283,-100.880500323746,-287.85477016769,-12.2852011132906
2016,"Canada",644.14413699127,625.82000601851,70.0467283006111,1325.52335317157
2016,"USA",-83.5195473200792,-94.0215248568883,-280.258357960718,-14.9040868594255
2017,"Canada",667.358532978284,629.646987258687,73.4690982028922,1501.24090707536
2017,"USA",-83.882055922359,-98.191216541043,-301.242810171583,-12.0253663044724
2018,"Canada",681.482725283283,655.504491088669,67.6549399546671,1309.89154295772
2018,"USA",-83.128372925365,-92.6967243095347,-275.039124463309,-14.8280301135485
2019,"Canada",699.633788545082,652.335835374536,91.6331741315262,1312.45298290317
2019,"USA",-83.0099969539901,-93.0291876339068,-306.733300346609,-12.154439410159
2020,"Canada",693.378941210866,645.820207256682,61.0422703303002,1351.45610705911
2020,"USA",-82.5968672732373,-94.780656578996,-288.105534317951,-12.11275217927
2021,"Canada",649.268147341389,646.99547543654,60.9135860569372,1213.21297799943
2021,"USA",-84.0384020284365,-88.5605851904287,-305.387133352531,-12.0583564769351
2022,"Canada",686.963991213687,654.97970135233,66.8017227922099,1312.69123685299
2022,"USA",-82.0686504764295,-88.5605851904287,-305.851680334713,-12.1109057533294
2023,"Canada",664.542692993906,635.155054015501,60.5044654385564,1304.35696167961
2023,"USA",-80.3083709763167,-91.3430950524727,-300.923199446848,-12.0641436738288
